SteamID;TotalValue;ItemImage
76561199816377604;7.63$;https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpou6ryFABz7PXBfzxO08y5m4yPkvbwJenummJW4NE_jrzC89Ss2Qax-BVoY2HyJoHGdgY6Yl6B-Ffvybu7hJa6vZrLyyc1uT5iuyjSHv9stA/140fx140f
76561199816400924;10.12$;https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpou6ryFA957PfMYTxW09SzlZaS2aCgMenQwG4Hu5AmiOuWpI2k3wLi_xVqYmmgIIOXdVI2Z1nZ_lG8kurxxcjrG8zM-a8/140fx140f
76561199816346793;0.00$;
76561199816739265;0.31$;https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpot6-iFBRw7P7NYjV9_92wkZSSlfv1MLDum25V4dB8xO-T8N7wjFDlrhA4MmGhJtWScwVrY1CD_QK5xOy8g8K_uZnMyHVk73E8pSGKrNOKfW8/140fx140f
76561199816248932;0.46$;https://steamcommunity-a.akamaihd.net/economy/image/IzMF03bi9WpSBq-S-ekoE33L-iLqGFHVaU25ZzQNQcXdB2ozio1RrlIWFK3UfvMYB8UsvjiMXojflsZalyxSh31CIyHz2GZ-KuFpPsrTzBG0q_eADEvkYDjQYXHdHg9sS7VaNT6I9mCnsbyWF27BErsuEA5QL6oD9DVMO5yLOBBugYYVu2u_0UdyEhk6f9BKZAarxm1OZ7hxzngU9_7F-pM/140fx140f
76561199818385438;0.00$;
76561199816739265;0.31$;https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpot6-iFBRw7P7NYjV9_92wkZSSlfv1MLDum25V4dB8xO-T8N7wjFDlrhA4MmGhJtWScwVrY1CD_QK5xOy8g8K_uZnMyHVk73E8pSGKrNOKfW8/140fx140f
76561199815717791;2.30$;https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgposbupIgthwczbYQJR_M63jb-PkuTxIa_uhWpW7fp5j-jX7MKt3gXjqUdkNjylLI-dcwc2MlrZ-Vi5yO291p7ouJyam3I1vChx4H_fgVXp1jzmg8YG/140fx140f
N/A;0.00$;
76561199816577768;0.47$;https://steamcommunity-a.akamaihd.net/economy/image/IzMF03bi9WpSBq-S-ekoE33L-iLqGFHVaU25ZzQNQcXdB2ozio1RrlIWFK3UfvMYB8UsvjiMXojflsZalyxSh31CIyHz2GZ-KuFpPsrTzBG0pe2BEHXlJmDHdnWAGQ88ReUMYTnZ92at5OiSF2zKE-ApEgpVL_QE9DBOOZuJOEAjlNlc7Wa3m0tvEwMkZsxWfBbmnSxKNeh2ebZg82s/140fx140f
76561199816900378;0.00$;
76561199816095797;0.00$;
